ablation_idx,subspace,projection_energy
10,cue1_plane_span,0.3661477796581518
6,cue1_plane_span,0.28291650638343924
9,cue1_plane_span,0.22890195707437047
12,cue1_plane_span,0.19783563872082144
2,cue1_plane_span,0.1755841281541478
1,cue1_plane_span,0.1270976068198446
7,cue1_plane_span,0.1257327369764108
11,cue1_plane_span,0.11941127038571325
3,cue1_plane_span,0.11128578977521295
5,cue1_plane_span,0.08946673313066081
4,cue1_plane_span,0.07511481868557279
13,cue1_plane_span,0.06601869896059762
8,cue1_plane_span,0.021861933626973837
0,cue1_plane_span,0.002337308518941875
2,cue2_plane_span,0.34379126124676507
4,cue2_plane_span,0.3303139935486475
8,cue2_plane_span,0.3151885830698235
13,cue2_plane_span,0.2293526525482062
10,cue2_plane_span,0.19318260583572563
9,cue2_plane_span,0.16226173547813127
3,cue2_plane_span,0.10291137117088142
6,cue2_plane_span,0.08410710185906631
11,cue2_plane_span,0.06254797290565255
1,cue2_plane_span,0.06101837825151734
12,cue2_plane_span,0.045785999373821704
7,cue2_plane_span,0.04490207880706
5,cue2_plane_span,0.012482950159420275
0,cue2_plane_span,0.004897287126331695
10,global_pc123_span,0.3592780333833864
12,global_pc123_span,0.3315027203294263
4,global_pc123_span,0.32711998910518447
0,global_pc123_span,0.29241725927776535
6,global_pc123_span,0.2883774486491436
7,global_pc123_span,0.2745208193953158
2,global_pc123_span,0.24882271398652062
9,global_pc123_span,0.203568158859923
8,global_pc123_span,0.1569286544436167
3,global_pc123_span,0.15259147222294364
1,global_pc123_span,0.11978252635843861
13,global_pc123_span,0.092186517579502
11,global_pc123_span,0.08554820609261395
5,global_pc123_span,0.06567923196619106
12,global_pc12_span,0.3313134822417858
6,global_pc12_span,0.23215575567919167
0,global_pc12_span,0.21933105687015497
7,global_pc12_span,0.21223596404138728
2,global_pc12_span,0.20464961669710208
9,global_pc12_span,0.19158864251997906
10,global_pc12_span,0.12172860489187358
3,global_pc12_span,0.11594926143639935
4,global_pc12_span,0.09486352485150139
11,global_pc12_span,0.08430075313109156
13,global_pc12_span,0.06361832253302725
8,global_pc12_span,0.062276861754900895
5,global_pc12_span,0.05091410260816376
1,global_pc12_span,0.013400804600190478
