rank,feature,cv,mean,std,min,max,selected
1,plane_angle_deg_diff,26.4646,0.28059,7.4257,-13.4589,8.10609,yes
2,centroid_separation_diff,7.95022,9.48402e-08,8.33502e-07,-9.24159e-07,1.65077e-06,yes
3,centroid_norm_diff,3.00291,-2.66489e-07,8.30274e-07,-2.08529e-06,4.018e-07,yes
4,radius_std_diff,2.6607,0.0939215,0.249897,-0.198453,0.582681,yes
5,eccentricity_diff,2.29164,-0.127151,0.291384,-0.472812,0.214631,yes
6,planarity_diff,2.14812,-0.00452105,0.0097118,-0.0113059,0.0166178,yes
7,var_pc12_diff,2.14811,-0.00452108,0.00971178,-0.0113059,0.0166177,yes
8,mean_radius_diff,1.64344,-1.04104,1.71089,-4.05857,0.927277,yes
9,arc_std_diff,1.63456,0.144354,0.235955,-0.226187,0.460546,yes
10,var_pc12_combined_diff,0.507842,-0.00801889,0.00407234,-0.01298,-0.000397086,yes
11,eccentricity_sum,0.356884,4.55348,1.62506,3.58471,8.16643,yes
12,plane_angle_deg_sum,0.249441,72.5274,18.0913,60.0518,111.575,yes
13,centroid_norm_sum,0.204067,1.43929e-05,2.93916e-06,9.74257e-06,1.93839e-05,yes
14,arc_std_sum,0.170663,12.364,2.11007,10.2484,16.0157,yes
15,centroid_separation_sum,0.160595,7.86484e-06,1.26466e-06,5.5121e-06,9.18487e-06,yes
16,radius_std_sum,0.155284,13.2795,2.06209,11.6946,17.8007,no
17,mean_radius_sum,0.149316,95.9173,14.322,67.2058,114.861,no
18,participation_ratio_sum,0.101556,3.39127,0.344404,2.89164,3.85408,no
19,intrinsic_dim_90pct_sum,0.0721312,0.322917,0.0232924,0.3125,0.375,no
20,var_top3_pcs_sum,0.0293704,0.784902,0.0230529,0.746926,0.81692,no
21,var_pc12_combined_sum,0.0211396,1.54572,0.0326758,1.47736,1.58161,no
22,planarity_sum,0.00523991,1.86995,0.00979835,1.85057,1.88319,no
23,var_pc12_sum,0.0052399,1.86995,0.00979834,1.85057,1.88319,no
24,participation_ratio_diff,0,0,0,0,0,no
25,var_top3_pcs_diff,0,0,0,0,0,no
26,intrinsic_dim_90pct_diff,0,0,0,0,0,no
