rank,feature,importance,stress_without
1,mean_sq_temporal_deriv_sum,8.541465765074008,1038.6637731603582
2,reconstruction_error_rank3_sum,4.981410913163927,1035.1037183084482
3,principal_angle_tgt_dis_sum,1.8354690755413685,1031.9577764708256
4,arc_std_sum,-0.06335578613061443,1030.0589516091536
5,var_top3_pcs_sum,-0.23530375158361494,1029.8870036437006
6,centroid_separation_sum,-0.8650879681099468,1029.2572194271743
7,intrinsic_dim_90pct_sum,-0.9516459817643863,1029.1706614135198
8,intrinsic_dim_90pct_diff,-1.3434122664593815,1028.7788951288248
9,centroid_norm_sum,-3.6654327125020245,1026.4568746827822
10,mean_radius_sum,-6.97253277941968,1023.1497746158645
11,participation_ratio_diff,-13.313454579207018,1016.8088528160772
12,eccentricity_diff,-13.776228969453655,1016.3460784258306
13,mean_sq_temporal_deriv_diff,-14.48452726483265,1015.6377801304516
14,var_top3_pcs_diff,-15.174025088606072,1014.9482823066782
15,var_pc12_combined_diff,-15.417252729513848,1014.7050546657704
16,var_pc12_combined_sum,-17.8620427431415,1012.2602646521427
17,centroid_norm_diff,-18.044238933573297,1012.0780684617109
18,eccentricity_sum,-18.259267213051658,1011.8630401822326
19,snr_pc_avg_diff,-18.467729146638703,1011.6545782486455
20,participation_ratio_sum,-22.986111048640623,1007.1361963466436
21,snr_pc_avg_sum,-36.5443829686393,993.5779244266449
22,var_pc12_sum,-37.96322307397293,992.1590843213113
23,planarity_sum,-37.963267030358566,992.1590403649257
24,principal_angle_tgt_dis_diff,-43.44447641127056,986.6778309840137
25,centroid_separation_diff,-44.28850905071238,985.8337983445718
26,planarity_diff,-46.09242667944511,984.0298807158391
27,var_pc12_diff,-46.092483022459874,984.0298243728244
28,reconstruction_error_rank3_diff,-46.477024260542976,983.6452831347412
29,radius_std_sum,-52.55090936427359,977.5713980310106
30,radius_std_diff,-55.98213867193067,974.1401687233536
31,mean_radius_diff,-56.03507370808836,974.0872336871959
32,arc_std_diff,-56.58443425100995,973.5378731442743
33,radius_curvature_diff,-71.27287032877985,958.8494370665044
34,plane_angle_deg_diff,-73.99234945199362,956.1299579432906
35,plane_angle_deg_sum,-76.89643083670035,953.2258765585839
36,radius_curvature_sum,-84.07054508986062,946.0517623054236
