trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_1_vs_Student_0,sw_Ablated_1_vs_Student_1,sw_Ablated_1_vs_Student_2,sw_Ablated_1_vs_Student_3,sw_Ablated_1_vs_Student_4,sw_Ablated_1_vs_Student_5,sw_Student_0_vs_Student_1,sw_Student_0_vs_Student_2,sw_Student_0_vs_Student_3,sw_Student_0_vs_Student_4,sw_Student_0_vs_Student_5,sw_Student_1_vs_Student_2,sw_Student_1_vs_Student_3,sw_Student_1_vs_Student_4,sw_Student_1_vs_Student_5,sw_Student_2_vs_Student_3,sw_Student_2_vs_Student_4,sw_Student_2_vs_Student_5,sw_Student_3_vs_Student_4,sw_Student_3_vs_Student_5,sw_Student_4_vs_Student_5,teacher_vs_students_mean,teacher_vs_students_std
0,1,0.0,0.0,True,0.6289862782369906,0.09920377499310715,0.12088576606655124,0.3430328789536862,0.2930979067621251,0.11371327721075652,0.6139955534936204,0.5991958301877123,0.5946311244532563,0.5179955624751807,0.5624161690762464,0.048816754419569126,0.24794578519050042,0.19864582262391361,0.0677200629615583,0.2373316779235149,0.1837996576617555,0.04673769002618326,0.08903291139168973,0.2649947222148649,0.20490906792201052,0.2664866470372028,0.18730382881458524
1,1,0.0,30.0,False,0.599833803868332,0.0747505795870646,0.0958249420301879,0.21132561082837067,0.1754547683329309,0.10363980490438521,0.5332018552753562,0.5563386477684011,0.5564433062707931,0.5426550272717641,0.5086068275332691,0.06304434205378297,0.17486330447673226,0.13446589273315201,0.046965144360354545,0.14037145824683675,0.10099318144309377,0.07715013765962513,0.04395551652672852,0.1959101591632998,0.15398141857224246,0.21013825159187852,0.18064986895357324
2,1,0.0,60.0,False,0.396472953374327,0.07391190954327839,0.07512612831400742,0.050352409799691585,0.03502277094820298,0.07024333891803478,0.3780244219684681,0.4108299931560925,0.3806383255050849,0.4160388986308608,0.3798209031740365,0.04758291726394885,0.08349104707032305,0.0887943815807086,0.026646708927587557,0.07795360270491904,0.08025056798812162,0.040432314085108806,0.04953126218987756,0.06868503792303332,0.07266574568944256,0.11685491848292369,0.125872529941421
3,1,0.0,90.0,False,0.49328607088735466,0.03137653972614617,0.041055538633598315,0.053754875302031185,0.03986391577291352,0.034267406934138614,0.4935781155618,0.5123713431370861,0.5202121778858213,0.5089475959942473,0.5162046104449094,0.05638959716054279,0.06265099297937832,0.04907988962927712,0.053595136403648394,0.0625873951351492,0.04477976038590667,0.0221030987100047,0.028447352954685534,0.0485060169835244,0.03661465734944605,0.11560072454269708,0.16905275346168483
4,1,0.0,120.0,False,0.9378990539767462,0.03802453793850889,0.035681683664952654,0.22068935977223855,0.19059330402913502,0.02514516943781364,0.9604272296608517,0.9664423830283526,0.9208463141433416,0.9138969824024823,0.9493556151510569,0.019664435705443108,0.2226048108771117,0.1927473399839148,0.02803019943529235,0.22776522903353347,0.1988929151789619,0.02395684376555342,0.039837939167000395,0.22180317200756589,0.1921512094743082,0.24133885146989917,0.3210838199794817
5,1,0.0,150.0,False,1.1920412336886765,0.10264021966352346,0.05131303189235732,0.25040735984115625,0.26076014615682264,0.13912165780946822,1.1637987824796294,1.1934026462002427,1.112092794840616,1.093075265172321,1.16548143130538,0.08029997998626331,0.15925878943105154,0.1698292370874438,0.06843033808030938,0.22244432762877747,0.2363579934124158,0.10546830150396257,0.04285139277334661,0.12309627178058702,0.1391222625910228,0.3327139415086674,0.39157661635606456
6,1,0.0,180.0,False,1.174485667997918,0.05881093456214792,0.12648515828118084,0.11035585405664525,0.10841294578043953,0.06329738067102145,1.1720289286032464,1.1882880793008384,1.1338249389437132,1.117124021550947,1.1756931273558395,0.13933043385003382,0.12232143469517376,0.10812587950497854,0.06386829940223232,0.14099447873166998,0.1576888362107752,0.10370638987486896,0.04437449807225552,0.10777710589652326,0.10278036843775937,0.2736413235582255,0.40363653237514646
7,1,0.0,210.0,False,1.271421390564794,0.07598943370563362,0.12900366271177377,0.10177136932956315,0.05556754603014393,0.08994362754602217,1.236992870692676,1.2135010451870198,1.2819372859603015,1.2957409149489858,1.2300739419596125,0.08678564031339575,0.09707201655868228,0.08050089519906256,0.07799709215984807,0.13209787818339247,0.12517065204632385,0.0877276223846346,0.07251619824364272,0.15917076114840806,0.11434288754874483,0.2872828383146551,0.44069549884171516
8,1,0.0,240.0,False,1.1493185442167877,0.10138900100962153,0.10228806048733982,0.2463953460877023,0.22771767354586603,0.08570270128203336,1.153162587077314,1.095226641709406,1.0789754814376322,1.1457319320034869,1.0850869587464431,0.1279827107000227,0.3212574833177593,0.31026670313865484,0.09002567592856052,0.21236557730483677,0.21448326614852697,0.05784245311947035,0.08271133816180326,0.24585301465920056,0.23795657963236044,0.3188018877715584,0.37677995113642226
9,1,0.0,270.0,False,1.065785723243856,0.07954407963448722,0.1457216352402541,0.31044315523061333,0.2413208972985022,0.051039248840292775,0.9975849726740676,0.9665326604796591,0.9768381534036825,1.0492808593567982,1.0268626248920183,0.09961586073091928,0.32747118981079126,0.2626865426348133,0.03744866362057782,0.23909816658223532,0.17749225352581804,0.11251989859800379,0.11463637116365571,0.31672122494013843,0.24969488826781466,0.3156424565813343,0.34710613989021133
