trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_11_vs_Student_0,sw_Ablated_11_vs_Student_1,sw_Student_0_vs_Student_1,sw_self_reference,teacher_vs_students_mean,teacher_vs_students_std
0,1,0.0,0.0,True,258860.78509675968,260135.366673622,3310.1526694935123,56609.073966918964,259498.07588519083,637.2907884311571
1,1,0.0,30.0,False,172711.74624115892,174911.72409542237,3295.288576944051,38897.434590296194,173811.73516829064,1099.9889271317224
2,1,0.0,60.0,False,176976.0089781187,178414.25278605084,3262.826758419026,52120.64845875471,177695.13088208478,719.1219039660646
3,1,0.0,90.0,False,94214.02584563725,96061.8012483456,3406.5289185523316,25833.128550007306,95137.91354699142,923.8877013541714
4,1,0.0,120.0,False,14942.337567734654,18172.569631062455,3493.8755359359993,10350.295364820657,16557.453599398556,1615.1160316639007
5,1,0.0,150.0,False,35083.703023851005,38100.88788491344,3265.288666321164,47832.47719584322,36592.29545438223,1508.5924305312183
6,1,0.0,180.0,False,190638.17462748103,193587.4781414798,3510.54112928228,62895.31067129789,192112.8263844804,1474.6517569993885
7,1,0.0,210.0,False,170114.30933051498,172831.2913216516,3173.684301079505,74827.83433454309,171472.8003260833,1358.4909955683106
8,1,0.0,240.0,False,339234.55041916564,341925.8743645125,3505.4081692725485,70336.95129939223,340580.2123918391,1345.6619726734352
9,1,0.0,270.0,False,493552.6983516646,495886.7139711172,3378.1210769856643,152231.84879737993,494719.7061613909,1167.0078097263176
10,1,0.0,300.0,False,386353.77993669023,388493.63851608266,3132.270726639609,71084.3975925366,387423.70922638645,1069.9292896962143
11,1,0.0,330.0,False,277786.01785538765,279963.86589127214,3010.0215176612055,116246.51001334729,278874.9418733299,1088.9240179422486
12,1,30.0,0.0,False,87207.21589900805,89477.40842902905,3192.3228518296373,54713.91189942532,88342.31216401854,1135.0962650104993
13,1,30.0,30.0,True,107994.82614774103,110026.12776007451,3235.951410056666,33371.24468748756,109010.47695390777,1015.650806166741
14,1,30.0,60.0,False,150566.0924518516,151403.99688160745,3220.0085817979034,22239.517457958667,150985.04466672952,418.9522148779215
15,1,30.0,90.0,False,101495.50262480366,103146.97064050371,3309.564790838518,11711.995695126097,102321.23663265369,825.7340078500274
16,1,30.0,120.0,False,759.4431392534171,4190.714232054048,3492.3659695633996,1869.8190794049447,2475.0786856537325,1715.6355464003154
17,1,30.0,150.0,False,1658.063406539211,4982.614466809331,3443.9591714947774,1178.1225863459958,3320.3389366742713,1662.27553013506
18,1,30.0,180.0,False,16699.554495286062,19927.790638973056,3364.0255158872887,8182.1728072323795,18313.672567129557,1614.1180718434973
19,1,30.0,210.0,False,9863.676200421956,13133.183958401522,3414.6207025188332,3862.6986363618053,11498.430079411739,1634.7538789897826
20,1,30.0,240.0,False,40464.97307319031,43537.10821872065,3306.243962872359,13316.23412278424,42001.04064595548,1536.0675727651687
21,1,30.0,270.0,False,90482.87665563865,93282.95466526125,3155.0428829039033,58313.03666167563,91882.91566044994,1400.0390048112968
22,1,30.0,300.0,False,61096.54649739653,63552.4108221126,3067.4817887658487,17794.592990651367,62324.47865975456,1227.9321623580363
23,1,30.0,330.0,False,125280.65196471477,127617.80467955662,3106.495918034065,46228.74343034987,126449.22832213569,1168.5763574209268
24,1,60.0,0.0,False,130131.35308843391,131606.1522718519,3487.100259906232,14264.555027349343,130868.7526801429,737.3995917089924
25,1,60.0,30.0,False,212424.58332757704,213349.9273907104,3421.2115150491645,9126.43868001494,212887.25535914372,462.6720315666753
26,1,60.0,60.0,True,358074.9576678052,357488.3466209787,3496.8291131070805,30556.82365968221,357781.6521443919,293.30552341326256
27,1,60.0,90.0,False,177096.93366457702,177369.0443975905,3195.759534041703,23199.25403869366,177232.98903108377,136.05536650674185
28,1,60.0,120.0,False,5168.840652720409,7116.071781503753,3247.865389565528,809.867693421714,6142.4562171120815,973.6155643916723
29,1,60.0,150.0,False,2119.5629080951985,4665.063106083863,3252.602266469329,713.0478990524919,3392.313007089531,1272.7500989943323
30,1,60.0,180.0,False,1448.9713052766206,4715.1401130937775,3481.901316834368,2132.8589466048516,3082.055709185199,1633.0844039085785
31,1,60.0,210.0,False,3139.898795481,6002.690798249135,3070.5497622199055,776.987645143286,4571.294796865068,1431.3960013840674
32,1,60.0,240.0,False,4522.432000952498,7764.873868736959,3422.869826021228,1477.2542248445711,6143.652934844728,1621.2209338922303
33,1,60.0,270.0,False,46015.76961629275,49101.846889508815,3245.290809066759,18848.35181660801,47558.80825290078,1543.038636608031
